D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
191.5631 -0.14674 0 190.469 -0.12941 0 24.5625 23.6223 187.0945 -3.7061 -3.5593 191.31 1.234 1.3634 50.3125 23.3586 09-Dec-2019 16:10:16
191.5616 -0.1483 0 190.4674 -0.13097 0 24.5625 23.6223 187.0587 -3.7419 -3.5936 191.321 1.2451 1.376 50.5 23.3495 09-Dec-2019 16:10:22
191.5621 -0.14777 0 190.4679 -0.13043 0 24.5625 23.6314 187.0271 -3.7735 -3.6258 191.3206 1.2446 1.3751 50.625 23.3495 09-Dec-2019 16:10:28
191.5599 -0.15002 0 190.4657 -0.13269 0 24.5625 23.6223 186.9935 -3.8071 -3.657 191.3027 1.2267 1.3594 50.6875 23.3495 09-Dec-2019 16:10:34
191.5579 -0.15201 0 190.4637 -0.13467 0 24.5625 23.6223 186.9617 -3.8388 -3.6868 191.3022 1.2262 1.3609 50.8125 23.3495 09-Dec-2019 16:10:40
191.5566 -0.15327 0 190.4624 -0.13594 0 24.5625 23.6223 186.9331 -3.8675 -3.7142 191.3048 1.2289 1.3648 50.9375 23.3495 09-Dec-2019 16:10:46
191.555 -0.15492 0 190.4608 -0.13759 0 24.5625 23.6314 186.9004 -3.9001 -3.7452 191.3034 1.2275 1.3651 51.0625 23.3495 09-Dec-2019 16:10:52
191.5542 -0.15573 0 190.46 -0.1384 0 24.5625 23.6314 186.8696 -3.931 -3.7753 191.3039 1.228 1.3664 51.1875 23.3495 09-Dec-2019 16:10:58
191.5547 -0.15521 0 190.4605 -0.13788 0 24.5625 23.6314 186.8416 -3.959 -3.8037 191.2916 1.2157 1.3535 51.25 23.3495 09-Dec-2019 16:11:05
191.5553 -0.15456 0 190.4612 -0.13722 0 24.5625 23.6314 186.8097 -3.9909 -3.8363 191.291 1.2151 1.3523 51.375 23.3404 09-Dec-2019 16:11:11
191.5546 -0.1553 0 190.4604 -0.13797 0 24.5625 23.6223 186.7828 -4.0178 -3.8625 191.2955 1.2195 1.3575 51.5 23.3404 09-Dec-2019 16:11:17
191.5541 -0.15575 0 190.46 -0.13841 0 24.5625 23.6223 186.7531 -4.0475 -3.8918 191.2814 1.2055 1.3439 51.5625 23.3404 09-Dec-2019 16:11:23
191.5519 -0.158 0 190.4577 -0.14067 0 24.5625 23.6314 186.724 -4.0765 -3.9185 191.2838 1.2079 1.3485 51.6875 23.3313 09-Dec-2019 16:11:29
191.5521 -0.15781 0 190.4579 -0.14047 0 24.5625 23.6223 186.6976 -4.103 -3.9452 191.2888 1.2128 1.3533 51.8125 23.3313 09-Dec-2019 16:11:35
191.5515 -0.15836 0 190.4574 -0.14102 0 24.5625 23.6223 186.6705 -4.1301 -3.9717 191.2773 1.2014 1.3424 51.875 23.3404 09-Dec-2019 16:11:41
191.5507 -0.15923 0 190.4507 -0.14771 0 24.5 23.6223 186.6438 -4.1568 -3.9976 191.2821 1.2061 1.3538 52 23.3404 09-Dec-2019 16:11:47
191.5482 -0.16165 0 190.4482 -0.15013 0 24.5 23.6314 186.6188 -4.1817 -4.0201 191.2728 1.1969 1.347 52.0625 23.3404 09-Dec-2019 16:11:53
191.5513 -0.15854 0 190.4572 -0.1412 0 24.5625 23.6223 186.5912 -4.2093 -4.0508 191.2767 1.2007 1.3419 52.1875 23.3404 09-Dec-2019 16:11:59
191.5511 -0.15883 0 190.4569 -0.14149 0 24.5625 23.6223 186.5687 -4.2319 -4.0731 191.2856 1.2096 1.3511 52.3125 23.3313 09-Dec-2019 16:12:06
191.5483 -0.16154 0 190.4542 -0.14421 0 24.5625 23.6314 186.5461 -4.2544 -4.0929 191.2787 1.2028 1.347 52.375 23.3313 09-Dec-2019 16:12:12
191.5501 -0.15974 0 190.456 -0.14241 0 24.5625 23.6223 186.5165 -4.2841 -4.1243 191.2648 1.1889 1.3313 52.5 23.3313 09-Dec-2019 16:12:18
191.5467 -0.16316 0 190.4525 -0.14583 0 24.5625 23.6223 186.491 -4.3095 -4.1464 191.2708 1.1949 1.3407 52.5625 23.3313 09-Dec-2019 16:12:24
191.5464 -0.16348 0 190.4522 -0.14615 0 24.5625 23.6223 186.4678 -4.3328 -4.1693 191.2633 1.1873 1.3335 52.625 23.3313 09-Dec-2019 16:12:30
191.5452 -0.1647 0 190.451 -0.14737 0 24.5625 23.6223 186.4445 -4.3561 -4.1914 191.2558 1.1798 1.3272 52.75 23.3313 09-Dec-2019 16:12:36
191.5439 -0.16597 0 190.4497 -0.14864 0 24.5625 23.6314 186.4209 -4.3797 -4.2138 191.2636 1.1876 1.3363 52.8125 23.3313 09-Dec-2019 16:12:42
191.5417 -0.1682 0 190.4475 -0.15086 0 24.5625 23.6314 186.3984 -4.4022 -4.234 191.2569 1.1809 1.3318 52.9375 23.3313 09-Dec-2019 16:12:48
191.541 -0.1689 0 190.4468 -0.15157 0 24.5625 23.6223 186.3778 -4.4227 -4.2538 191.252 1.1761 1.3277 53 23.3222 09-Dec-2019 16:12:54
191.5406 -0.16924 0 190.4465 -0.1519 0 24.5625 23.6223 186.3571 -4.4435 -4.2743 191.2628 1.1868 1.3387 53.0625 23.3222 09-Dec-2019 16:13:01
191.5382 -0.17169 0 190.444 -0.15436 0 24.5625 23.6223 186.3306 -4.47 -4.2983 191.252 1.1761 1.3304 53.125 23.3313 09-Dec-2019 16:13:07
191.5375 -0.17235 0 190.4434 -0.15501 0 24.5625 23.6314 186.312 -4.4885 -4.3162 191.2492 1.1733 1.3283 53.25 23.3222 09-Dec-2019 16:13:13
191.5367 -0.17322 0 190.4425 -0.15588 0 24.5625 23.6223 186.2772 -4.5234 -4.3502 191.2571 1.1812 1.3371 53.3125 23.3222 09-Dec-2019 16:13:19
191.5353 -0.17456 0 190.4411 -0.15723 0 24.5625 23.6314 186.2581 -4.5425 -4.368 191.2425 1.1666 1.3238 53.375 23.3222 09-Dec-2019 16:13:25
191.5369 -0.17297 0 190.4427 -0.15564 0 24.5625 23.6223 186.2376 -4.563 -4.39 191.2378 1.1618 1.3175 53.4375 23.3222 09-Dec-2019 16:13:31
191.5386 -0.17131 0 190.4444 -0.15398 0 24.5625 23.6223 186.2196 -4.581 -4.4097 191.2513 1.1754 1.3293 53.5625 23.3222 09-Dec-2019 16:13:37
191.5364 -0.17349 0 190.4393 -0.15907 0 24.5625 23.6223 186.198 -4.6026 -4.4291 191.2455 1.1695 1.3286 53.625 23.3131 09-Dec-2019 16:13:43
191.535 -0.17491 0 190.4408 -0.15758 0 24.5625 23.6223 186.1793 -4.6212 -4.4463 191.2426 1.1666 1.3242 53.6875 23.3131 09-Dec-2019 16:13:49
191.5319 -0.17801 0 190.4377 -0.16068 0 24.5625 23.6314 186.1552 -4.6454 -4.4674 191.2499 1.174 1.3347 53.8125 23.3222 09-Dec-2019 16:13:55
191.5333 -0.17656 0 190.4391 -0.15923 0 24.5625 23.6223 186.1372 -4.6634 -4.4868 191.2477 1.1718 1.331 53.875 23.3131 09-Dec-2019 16:14:02
191.5297 -0.18021 0 190.4355 -0.16287 0 24.5625 23.6223 186.1162 -4.6844 -4.5042 191.2425 1.1665 1.3294 53.9375 23.3131 09-Dec-2019 16:14:08
191.5288 -0.18105 0 190.4405 -0.15787 0 24.625 23.6223 186.0972 -4.7034 -4.5223 191.2392 1.1633 1.3212 54 23.304 09-Dec-2019 16:14:14
191.5299 -0.17998 0 190.4357 -0.16264 0 24.5625 23.6223 186.0785 -4.7221 -4.5421 191.2363 1.1603 1.323 54.0625 23.3131 09-Dec-2019 16:14:20
191.5269 -0.18301 0 190.4327 -0.16568 0 24.5625 23.6223 186.0625 -4.7381 -4.5551 191.2518 1.1758 1.3415 54.1875 23.3131 09-Dec-2019 16:14:26
191.5264 -0.1835 0 190.4322 -0.16617 0 24.5625 23.6223 186.0433 -4.7573 -4.5738 191.2483 1.1724 1.3386 54.25 23.304 09-Dec-2019 16:14:32
