D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
189.8048 -1.9051 0 188.6482 -1.9501 0 23.875 23.6314 189.0058 -1.7948 0.11029 188.2297 -1.8463 0.10388 23.8125 23.4859 10-Dec-2019 08:32:34
189.8026 -1.9073 0 188.6406 -1.9578 0 23.8125 23.6314 189.0058 -1.7948 0.1125 188.2297 -1.8462 0.11154 23.875 23.4859 10-Dec-2019 08:32:40
189.8038 -1.9061 0 188.6418 -1.9566 0 23.8125 23.6314 189.0048 -1.7958 0.11031 188.2287 -1.8472 0.10934 23.875 23.4859 10-Dec-2019 08:32:46
189.8018 -1.9081 0 188.6398 -1.9586 0 23.8125 23.6314 189.0018 -1.7988 0.10931 188.2257 -1.8502 0.10835 23.875 23.4859 10-Dec-2019 08:32:52
189.7994 -1.9105 0 188.6429 -1.9555 0 23.875 23.6314 189.003 -1.7976 0.11288 188.2269 -1.849 0.10648 23.875 23.4859 10-Dec-2019 08:32:58
189.8009 -1.9089 0 188.639 -1.9594 0 23.8125 23.6223 189.0037 -1.7969 0.11201 188.2276 -1.8484 0.11105 23.875 23.4859 10-Dec-2019 08:33:04
189.803 -1.9069 0 188.641 -1.9574 0 23.8125 23.6314 189.003 -1.7975 0.10933 188.2216 -1.8544 0.103 23.8125 23.4859 10-Dec-2019 08:33:10
189.8002 -1.9097 0 188.6437 -1.9547 0 23.875 23.6314 189.0053 -1.7953 0.11438 188.2292 -1.8467 0.10797 23.8125 23.4859 10-Dec-2019 08:33:17
189.8036 -1.9063 0 188.647 -1.9513 0 23.875 23.6314 189.0041 -1.7965 0.1098 188.2226 -1.8533 0.098022 23.8125 23.4859 10-Dec-2019 08:33:23
189.7997 -1.9102 0 188.6377 -1.9607 0 23.8125 23.6314 189.0048 -1.7958 0.11438 188.2233 -1.8526 0.10805 23.875 23.4859 10-Dec-2019 08:33:29
189.801 -1.9089 0 188.639 -1.9594 0 23.8125 23.6314 189.0014 -1.7991 0.10976 188.2254 -1.8506 0.1088 23.875 23.4859 10-Dec-2019 08:33:35
189.8008 -1.9091 0 188.6388 -1.9596 0 23.8125 23.6314 189.0057 -1.7949 0.1142 188.2243 -1.8517 0.10788 23.875 23.4859 10-Dec-2019 08:33:41
189.8 -1.9099 0 188.6434 -1.955 0 23.875 23.6314 189.0061 -1.7945 0.11546 188.23 -1.8459 0.10905 23.875 23.4859 10-Dec-2019 08:33:47
189.8006 -1.9093 0 188.6386 -1.9597 0 23.8125 23.6223 189.0038 -1.7968 0.11243 188.2277 -1.8483 0.11147 23.875 23.495 10-Dec-2019 08:33:53
189.8013 -1.9086 0 188.6393 -1.9591 0 23.8125 23.6314 189.0027 -1.7978 0.11079 188.2267 -1.8493 0.10983 23.875 23.4859 10-Dec-2019 08:33:59
189.8009 -1.909 0 188.6389 -1.9594 0 23.8125 23.6314 189.0054 -1.7952 0.11375 188.2293 -1.8466 0.11279 23.8125 23.4859 10-Dec-2019 08:34:05
189.8 -1.9099 0 188.638 -1.9603 0 23.8125 23.6314 189.0041 -1.7965 0.11337 188.2226 -1.8533 0.10704 23.8125 23.4859 10-Dec-2019 08:34:11
