D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
188.8892 -2.8207 0 187.8364 -2.7619 0 24.9375 23.6223 181.8597 -8.9409 -6.1202 188.7146 -1.3614 1.4006 60.875 23.2222 10-Dec-2019 14:49:08
188.8922 -2.8176 0 187.8334 -2.765 0 24.9375 23.6223 181.8596 -8.941 -6.1233 188.7145 -1.3615 1.4035 60.875 23.2131 10-Dec-2019 14:49:14
188.8912 -2.8187 0 187.8324 -2.766 0 24.9375 23.6223 181.8579 -8.9427 -6.124 188.7128 -1.3632 1.4028 60.875 23.2131 10-Dec-2019 14:49:21
188.8909 -2.819 0 187.8321 -2.7663 0 24.9375 23.6223 181.8579 -8.9427 -6.1237 188.7128 -1.3631 1.4032 60.875 23.2131 10-Dec-2019 14:49:27
188.8909 -2.819 0 187.8321 -2.7663 0 25 23.6314 181.8615 -8.9391 -6.1201 188.7164 -1.3596 1.4068 60.875 23.2222 10-Dec-2019 14:49:33
188.8869 -2.823 0 187.8281 -2.7703 0 24.9375 23.6223 181.8553 -8.9453 -6.1223 188.7101 -1.3658 1.4045 60.875 23.2222 10-Dec-2019 14:49:39
188.887 -2.8229 0 187.8282 -2.7702 0 24.9375 23.6223 181.8486 -8.9519 -6.1291 188.7035 -1.3724 1.3978 60.875 23.2131 10-Dec-2019 14:49:45
188.8884 -2.8215 0 187.8296 -2.7688 0 25 23.6314 181.8494 -8.9512 -6.1297 188.7043 -1.3716 1.3972 60.875 23.2131 10-Dec-2019 14:49:51
188.8859 -2.824 0 187.8271 -2.7713 0 24.9375 23.6223 181.847 -8.9536 -6.1297 188.7018 -1.3741 1.3972 60.875 23.2222 10-Dec-2019 14:49:57
188.884 -2.8259 0 187.8252 -2.7732 0 24.9375 23.6223 181.8469 -8.9536 -6.1278 188.7018 -1.3741 1.3991 60.875 23.2131 10-Dec-2019 14:50:03
188.8854 -2.8244 0 187.8266 -2.7718 0 25 23.6314 181.8469 -8.9537 -6.1293 188.7017 -1.3742 1.3976 60.875 23.2222 10-Dec-2019 14:50:09
188.8872 -2.8227 0 187.8344 -2.764 0 24.9375 23.6314 181.8524 -8.9482 -6.1255 188.7072 -1.3687 1.3953 60.875 23.2222 10-Dec-2019 14:50:16
188.8831 -2.8268 0 187.8303 -2.7681 0 24.9375 23.6223 181.8435 -8.9571 -6.1302 188.6984 -1.3776 1.3905 60.875 23.2222 10-Dec-2019 14:50:22
188.8844 -2.8255 0 187.8316 -2.7667 0 25 23.6223 181.8435 -8.9571 -6.1316 188.6983 -1.3776 1.3891 60.875 23.2131 10-Dec-2019 14:50:28
188.884 -2.8259 0 187.8312 -2.7672 0 25 23.6314 181.8503 -8.9503 -6.1244 188.7052 -1.3707 1.3964 60.875 23.2222 10-Dec-2019 14:50:34
188.8871 -2.8228 0 187.8344 -2.764 0 25 23.6223 181.8489 -8.9516 -6.1289 188.7038 -1.3721 1.3919 60.875 23.2222 10-Dec-2019 14:50:40
188.8869 -2.823 0 187.8341 -2.7642 0 25 23.6223 181.845 -8.9556 -6.1326 188.6999 -1.376 1.3882 60.875 23.2131 10-Dec-2019 14:50:46
188.8839 -2.8259 0 187.8312 -2.7672 0 25 23.6223 181.8422 -8.9584 -6.1324 188.6971 -1.3788 1.3884 60.875 23.2222 10-Dec-2019 14:50:52
188.8812 -2.8287 0 187.8284 -2.77 0 25 23.6223 181.8403 -8.9603 -6.1315 188.6952 -1.3808 1.3892 60.875 23.2131 10-Dec-2019 14:50:58
188.8799 -2.83 0 187.8271 -2.7713 0 25 23.6041 181.8419 -8.9587 -6.1286 188.6968 -1.3792 1.3921 60.875 23.2222 10-Dec-2019 14:51:04
188.8823 -2.8276 0 187.8235 -2.7749 0 24.9375 23.6223 181.8438 -8.9568 -6.1292 188.6987 -1.3773 1.3976 60.875 23.2131 10-Dec-2019 14:51:11
188.8852 -2.8247 0 187.8324 -2.766 0 25 23.6223 181.8416 -8.959 -6.1342 188.6965 -1.3794 1.3865 60.875 23.2131 10-Dec-2019 14:51:17
188.8813 -2.8286 0 187.8285 -2.7698 0 25 23.6223 181.8398 -8.9608 -6.1322 188.7098 -1.3661 1.4037 60.9375 23.2222 10-Dec-2019 14:51:23
188.883 -2.8269 0 187.8302 -2.7682 0 25 23.6223 181.8393 -8.9612 -6.1343 188.7094 -1.3665 1.4016 60.9375 23.2222 10-Dec-2019 14:51:29
188.8785 -2.8314 0 187.8257 -2.7726 0 25 23.6223 181.8371 -8.9634 -6.1321 188.7072 -1.3687 1.4039 60.9375 23.2222 10-Dec-2019 14:51:35
188.875 -2.8349 0 187.8222 -2.7762 0 25 23.6223 181.8365 -8.9641 -6.1292 188.6914 -1.3846 1.3916 60.9375 23.2222 10-Dec-2019 14:51:41
