D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
191.3968 -0.31311 0 190.3626 -0.23579 0 25.1875 23.6223 190.0475 -0.75304 -0.43993 191.2332 1.1572 1.393 37.3125 23.4313 09-Dec-2019 17:59:09
191.3957 -0.31421 0 190.3677 -0.23071 0 25.1875 23.6223 189.9842 -0.81639 -0.50218 191.2703 1.1943 1.425 37.75 23.4313 09-Dec-2019 17:59:15
191.3942 -0.3157 0 190.36 -0.23839 0 25.1875 23.6223 189.9063 -0.89427 -0.57857 191.2687 1.1928 1.4312 38.125 23.4313 09-Dec-2019 17:59:21
191.395 -0.31488 0 190.3608 -0.23756 0 25.1875 23.6223 189.8267 -0.97388 -0.659 191.2663 1.1903 1.4279 38.5 23.4404 09-Dec-2019 17:59:27
191.3945 -0.31543 0 190.3603 -0.23811 0 25.1875 23.6223 189.7387 -1.0619 -0.74649 191.2561 1.1802 1.4183 38.875 23.4313 09-Dec-2019 17:59:33
191.3942 -0.31569 0 190.36 -0.23837 0 25.25 23.6132 189.6525 -1.1481 -0.8324 191.2619 1.186 1.4244 39.25 23.4404 09-Dec-2019 17:59:39
191.3949 -0.315 0 190.3607 -0.23769 0 25.1875 23.6223 189.5676 -1.233 -0.91801 191.2433 1.1674 1.405 39.625 23.4313 09-Dec-2019 17:59:45
191.3919 -0.31795 0 190.3577 -0.24063 0 25.1875 23.6223 189.4793 -1.3213 -1.0034 191.2353 1.1593 1.4 39.9375 23.4313 09-Dec-2019 17:59:51
191.3926 -0.31726 0 190.3584 -0.23994 0 25.1875 23.6314 189.3972 -1.4034 -1.0862 191.2206 1.1447 1.3846 40.3125 23.4313 09-Dec-2019 17:59:57
191.3938 -0.31607 0 190.3596 -0.23875 0 25.1875 23.6223 189.3155 -1.4851 -1.169 191.2069 1.1309 1.3697 40.625 23.4313 09-Dec-2019 18:00:04
191.391 -0.31891 0 190.3568 -0.24159 0 25.1875 23.6223 189.2359 -1.5647 -1.2458 191.1957 1.1198 1.3614 40.9375 23.4313 09-Dec-2019 18:00:10
