D2BHa D2BHd D2BCJ D2AHa D2AHd D2ACJ D2temp D2Voltage D3BHa D3BHd D3BCJ D3AHa D3AHd D3ACJ D3temp D3Voltage 日期 时间 
192.0922 -19.0407 0 190.9415 -19.0059 0 23.9375 23.6314 191.4746 -19.0749 -0.034164 190.7002 -19.056 -0.050079 23.875 23.4859 09-Dec-2019 11:33:22
192.0967 -19.0363 0 190.9459 -19.0015 0 23.9375 23.6314 191.4759 -19.0736 -0.037292 190.7015 -19.0547 -0.053207 23.875 23.4859 09-Dec-2019 11:33:28
192.0942 -19.0388 0 190.9435 -19.004 0 23.9375 23.6314 191.476 -19.0735 -0.034729 190.7016 -19.0546 -0.050644 23.875 23.4859 09-Dec-2019 11:33:34
192.0895 -19.0435 0 190.9387 -19.0087 0 23.9375 23.6314 191.4739 -19.0756 -0.03215 190.6995 -19.0567 -0.048065 23.875 23.4859 09-Dec-2019 11:33:40
192.0934 -19.0396 0 190.9426 -19.0048 0 23.9375 23.6314 191.4732 -19.0763 -0.036713 190.6988 -19.0574 -0.052628 23.875 23.4859 09-Dec-2019 11:33:46
192.0929 -19.0401 0 190.9422 -19.0052 0 23.9375 23.6314 191.4734 -19.0762 -0.036102 190.699 -19.0573 -0.052017 23.875 23.4859 09-Dec-2019 11:33:52
192.0895 -19.0435 0 190.9387 -19.0087 0 23.875 23.6314 191.4719 -19.0776 -0.034149 190.6975 -19.0587 -0.050064 23.875 23.4859 09-Dec-2019 11:33:58
192.0935 -19.0395 0 190.9427 -19.0047 0 23.9375 23.6223 191.472 -19.0775 -0.037979 190.6976 -19.0586 -0.053894 23.875 23.4859 09-Dec-2019 11:34:04
192.0938 -19.0391 0 190.9431 -19.0043 0 23.9375 23.6223 191.4746 -19.0749 -0.035782 190.7002 -19.056 -0.051697 23.875 23.4859 09-Dec-2019 11:34:10
192.0914 -19.0415 0 190.9407 -19.0067 0 23.9375 23.6223 191.4747 -19.0748 -0.033279 190.7003 -19.0559 -0.049194 23.875 23.4859 09-Dec-2019 11:34:16
192.0957 -19.0373 0 190.9449 -19.0025 0 23.9375 23.6314 191.4743 -19.0752 -0.037933 190.6999 -19.0564 -0.053848 23.875 23.4859 09-Dec-2019 11:34:22
192.0893 -19.0436 0 190.9386 -19.0088 0 23.9375 23.6314 191.473 -19.0765 -0.032852 190.6986 -19.0576 -0.048767 23.875 23.495 09-Dec-2019 11:34:28
192.0952 -19.0378 0 190.9444 -19.003 0 23.9375 23.6314 191.47 -19.0795 -0.041702 190.6956 -19.0606 -0.057632 23.875 23.4768 09-Dec-2019 11:34:34
192.0958 -19.0372 0 190.9451 -19.0023 0 23.9375 23.6314 191.4724 -19.0771 -0.039963 190.698 -19.0582 -0.055878 23.875 23.4859 09-Dec-2019 11:34:40
192.0882 -19.0448 0 190.9374 -19.01 0 23.9375 23.6314 191.4729 -19.0766 -0.031784 190.6985 -19.0577 -0.047699 23.875 23.4859 09-Dec-2019 11:34:46
192.0933 -19.0397 0 190.9425 -19.0049 0 23.9375 23.6314 191.4734 -19.0761 -0.036392 190.699 -19.0572 -0.052307 23.875 23.4859 09-Dec-2019 11:34:52
192.0913 -19.0417 0 190.9405 -19.0069 0 23.9375 23.6314 191.472 -19.0775 -0.035797 190.6976 -19.0586 -0.051712 23.875 23.4859 09-Dec-2019 11:34:58
192.093 -19.0399 0 190.9423 -19.0051 0 23.9375 23.6314 191.4693 -19.0802 -0.040283 190.6949 -19.0614 -0.056213 23.875 23.4859 09-Dec-2019 11:35:04
192.0926 -19.0404 0 190.9418 -19.0056 0 23.9375 23.6314 191.4712 -19.0783 -0.037918 190.6968 -19.0594 -0.053833 23.875 23.4859 09-Dec-2019 11:35:10
192.0947 -19.0382 0 190.944 -19.0034 0 23.9375 23.6314 191.4725 -19.077 -0.038757 190.7035 -19.0527 -0.049271 23.9375 23.4859 09-Dec-2019 11:35:16
192.0951 -19.0378 0 190.9444 -19.003 0 23.9375 23.6314 191.4695 -19.08 -0.042206 190.6951 -19.0612 -0.058136 23.875 23.4859 09-Dec-2019 11:35:22
192.0901 -19.0428 0 190.9394 -19.008 0 23.9375 23.6314 191.4664 -19.0831 -0.040329 190.692 -19.0643 -0.056259 23.875 23.4859 09-Dec-2019 11:35:28
192.0901 -19.0429 0 190.9393 -19.0081 0 23.9375 23.6314 191.4712 -19.0783 -0.035461 190.6968 -19.0594 -0.051376 23.875 23.4859 09-Dec-2019 11:35:34
192.092 -19.041 0 190.9412 -19.0062 0 23.9375 23.6223 191.4696 -19.0799 -0.038925 190.6952 -19.0611 -0.054855 23.875 23.4859 09-Dec-2019 11:35:40
192.0939 -19.0391 0 190.9431 -19.0043 0 23.9375 23.6314 191.4688 -19.0807 -0.041656 190.6944 -19.0618 -0.057587 23.875 23.4859 09-Dec-2019 11:35:46
192.0959 -19.0371 0 190.9451 -19.0023 0 23.9375 23.6314 191.4671 -19.0824 -0.045334 190.6927 -19.0636 -0.061264 23.9375 23.4859 09-Dec-2019 11:35:52
192.0985 -19.0345 0 190.9477 -18.9997 0 23.9375 23.6314 191.4659 -19.0836 -0.049149 190.6915 -19.0648 -0.065079 23.875 23.4859 09-Dec-2019 11:35:58
192.093 -19.0399 0 190.9423 -19.0051 0 23.9375 23.6314 191.471 -19.0785 -0.038574 190.6966 -19.0596 -0.054489 23.875 23.4859 09-Dec-2019 11:36:04
192.0945 -19.0385 0 190.9437 -19.0037 0 23.9375 23.6223 191.4725 -19.077 -0.038513 190.6981 -19.0581 -0.054428 23.875 23.495 09-Dec-2019 11:36:10
192.0957 -19.0373 0 190.9449 -19.0025 0 23.9375 23.6314 191.4716 -19.0779 -0.040558 190.6973 -19.059 -0.056473 23.875 23.4768 09-Dec-2019 11:36:16
192.0956 -19.0374 0 190.9448 -19.0026 0 23.9375 23.6314 191.4692 -19.0803 -0.042953 190.6948 -19.0615 -0.058884 23.875 23.4859 09-Dec-2019 11:36:22
