80B 7FF 7FF
80D 7FE 80A
80E 800 80C
818 800 7FF
80F 7FF 80C
80D 7FE 80B
80E 7FE 80B
80E 7FD 80B
80D 7FF 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80F 7FD 80B
80D 7FE 80C
80D 7FE 80B
80E 7FE 80A
80D 7FD 80B
80D 7FE 80B
80E 7FD 80A
80E 7FE 80B
80E 7FF 80A
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80D 800 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FF 80B
80E 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 7FD 80C
839 800 808
810 7FD 81B
80F 7FF 80B
80F 7FE 80B
80C 800 7E8
80D 7FD 80B
80E 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 800 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FF 80B
80E 800 80B
80E 7FE 80B
80E 7FE 80B
80F 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 7FE 80B
80D 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80A
80D 7FF 80B
80E 7FF 80B
80E 800 80C
815 835 7F3
811 7FF 82C
80D 800 80B
80D 7FE 80F
80A 7FA 7E7
80D 7FE 80B
80E 7FF 80C
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80E 7FF 80B
80D 7FE 80B
80E 800 80B
80E 7FE 80B
80D 7FE 80B
80E 7FD 80B
80D 7FE 80B
80C 7FE 80B
80E 7FE 80B
80D 7FF 80C
80D 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FD 80B
80E 7FF 80B
80E 7FD 80C
80E 7FE 80B
80D 7FF 80B
80E 7FD 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80A
80D 7FF 80B
80E 7FF 80B
80D 7FE 80B
80E 7FD 80B
80E 7FE 80B
80E 7FE 80B
80F 7FF 80C
80C 803 815
80C 7EB 809
80E 7FE 80D
80D 7FE 80B
80D 800 805
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80A
80D 7FF 80B
80D 7FF 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 800 80B
80E 7FE 80B
80D 7FE 80B
80D 7FD 80B
80E 7FE 80B
80D 7FE 80B
80D 7FE 80B
80F 7FE 80C
80D 7FE 80B
80E 7FF 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80D 7FF 80B
80E 7FF 80C
80E 800 80B
80E 7FE 80A
80F 7FE 80B
80D 7FE 80B
80E 7FF 80B
80E 7FE 80B
80E 800 80B
807 7E3 80D
7ED 7FE 80B
80D 800 80C
80D 7FE 80C
7EC 800 7FF
80E 7FF 80C
80E 7FE 80B
80D 7FF 809
80D 7FE 80B
80D 7FE 80B
80D 7FE 80C
80E 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FD 80A
80E 7FE 80B
80E 800 80B
80E 7FF 80B
80E 7FF 80B
80D 7FE 80B
80E 7FE 80B
80D 7FD 80B
80D 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80E 7FE 80B
80D 7FF 80B
80E 7FD 80B
80E 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80A
80D 7FD 80C
80E 7FE 80B
80F 7FE 80A
80E 7FE 80B
80D 7FD 80B
80F 7FE 80C
80D 804 80C
80C 80D 80A
80D 7FD 80A
80D 7FF 80B
7FF 800 819
80D 800 80E
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FF 80B
80E 7FE 80B
80E 7FF 80A
80D 7FE 80B
80D 7FE 80A
80E 7FF 80B
80E 7FE 80B
80E 7FE 80B
80E 7FF 80B
80D 7FE 80B
80E 7FD 80B
80D 7FF 80B
80E 7FE 80B
80E 7FE 80B
80D 7FE 80A
80E 7FF 80A
80E 7FE 80B
80E 800 80C
80E 7FE 80B
80E 7FF 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FF 80B
80D 7FE 80B
80D 7FF 80B
80F 7FF 80B
816 7F7 80A
80C 7F0 819
810 801 809
80F 7FE 80B
811 7FD 7E5
80D 7FD 80B
80E 7FE 80A
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80E 7FF 80A
80D 7FF 80B
80E 7FD 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80D 7FE 80B
80C 7FE 80B
80D 7FF 80A
80D 7FE 80A
80E 7FF 80B
80E 7FE 80B
80F 7FD 80C
80D 7FF 80B
80E 7FE 80B
80E 7FD 80B
80D 7FE 80B
80D 7FD 80B
80D 7FE 80B
80D 7FE 80B
80E 7FE 80B
80D 7FE 80A
80D 7FE 80B
80D 7FF 80A
80E 7FF 80B
80D 7FF 80B
80D 7FF 80B
80E 7FD 80B
80E 7FE 80B
80E 7FF 80B
80E 80F 800
